"","coID","inventory","strata"
"407",8291,11522.95173,1
"408",7224,11559.45401,1
"409",3269,11571.70094,1
"410",8458,11589.36965,1
"411",8496,11598.14514,1
"412",7401,11603.36514,1
"413",7359,11610.70277,1
"414",6815,11614.27933,1
"415",8357,11628.07436,1
"416",6729,11645.27173,1
"417",6745,11651.8784,1
"418",6821,11696.62211,1
"419",8571,11700.24342,1
"420",9073,11701.21509,1
"421",6714,11707.18713,1
"422",7280,11763.18632,1
"423",7385,11787.10291,1
"424",8530,11788.29018,1
"425",7384,11791.45656,1
"426",6579,11793.03638,1
"427",6546,11809.27895,1
"428",8541,11854.71624,1
"429",6615,11864.76404,1
"430",6634,11869.99171,1
"431",8537,11874.9194,1
"432",6750,11887.55523,1
"433",8335,11890.3875,1
"434",7363,11892.58813,1
"435",8521,11913.11724,1
"436",6664,11930.2375,1
"437",7352,11936.71064,1
"438",7462,11946.84587,1
"439",8332,11948.19473,1
"440",7273,11951.07435,1
"441",8374,11951.10405,1
"442",7519,11970.60003,1
"443",7350,12026.82427,1
"444",6608,12029.56624,1
"445",6496,12039.15679,1
"446",8486,12045.7476,1
"447",6592,12064.48374,1
"448",9069,12066.14322,1
"449",7435,12079.71544,1
"450",4665,12098.42362,1
"451",6816,12124.03558,1
"452",7269,12138.60759,1
"453",8607,12164.10971,1
"454",6830,12166.71495,1
"455",7523,12167.3726,1
"456",7379,12168.36293,1
"457",7341,12180.90177,1
"458",8649,12190.97364,1
"459",801,12197.7996,1
"460",6595,12223.62807,1
"461",5622,12233.92793,1
"462",7202,12270.94208,1
"463",9326,12282.76323,1
"464",9071,12289.34387,1
"465",7481,12291.3417,1
"466",8437,12293.24894,1
"467",5556,12297.18624,1
"468",9158,12300.88693,1
"469",6470,12353.85565,1
"470",6525,12417.92091,1
"471",7505,12418.80216,1
"472",8413,12421.11257,1
"473",7423,12511.68764,1
"474",5245,12542.4146,1
"475",9315,12607.06401,1
"476",6505,12620.85603,1
"477",6789,12632.58086,1
"478",7429,12677.8438,1
"479",6683,12689.18797,1
"480",8482,12692.19879,1
"481",6696,12696.01379,1
"482",7213,12700.25564,1
"483",6478,12721.41612,1
"484",7262,12737.66992,1
"485",7236,12739.46747,1
"486",8423,12758.93691,1
"487",6506,12770.98055,1
"488",6688,12776.05477,1
"489",8621,12783.51924,1
"490",6659,12787.63715,1
"491",7283,12796.06273,1
"492",6717,12827.56375,1
"493",7475,12830.02359,1
"494",6692,12835.91922,1
"495",8327,12842.30668,1
"496",5274,12847.02521,1
"497",8575,12856.48476,1
"498",7217,12906.36988,1
"499",8336,12943.90936,1
"500",8601,12954.60216,1
"501",6801,12959.2296,1
"502",6639,12965.33907,1
"503",7274,12980.61108,1
"504",6610,12987.1366,1
"505",7250,12997.88691,1
"506",9057,13000.28704,1
"507",6701,13039.03344,1
"508",8548,13074.21058,1
"509",6809,13079.74088,1
"510",6607,13081.06218,1
"511",7492,13081.21728,1
"512",9403,13092.73498,1
"513",7355,13099.95182,1
"514",6740,13123.98857,1
"515",9327,13148.21043,1
"516",8632,13154.40795,1
"517",7305,13174.50301,1
"518",8304,13184.89465,1
"519",6919,13188.49985,1
"520",6532,13189.18551,1
"521",6568,13212.3143,1
"522",6528,13260.45122,1
"523",6556,13282.55956,1
"524",6800,13288.90594,1
"525",6822,13290.84356,1
"526",8582,13339.00035,1
"527",7240,13339.23269,1
"528",9314,13341.74117,1
"529",8421,13354.51263,1
"530",9059,13371.26828,1
"531",6823,13376.54806,1
"532",5480,13392.11617,1
"533",8389,13411.39357,1
"534",7245,13432.88251,1
"535",6518,13465.22845,1
"536",6596,13474.24974,1
"537",8481,13475.7177,1
"538",6741,13476.41157,1
"539",7261,13480.11569,1
"540",5137,13507.438,1
"541",6675,13516.86984,1
"542",6623,13518.95043,1
"543",6566,13547.48625,1
"544",7805,13547.69839,1
"545",9147,13553.89484,1
"546",8528,13563.78136,1
"547",6778,13564.48807,1
"548",8696,13570.62963,1
"549",6508,13573.74123,1
"550",5542,13592.3934,1
"551",6636,13597.21086,1
"552",6653,13600.74583,1
"553",6766,13606.8754,1
"554",8372,13641.38602,1
"555",7447,13645.99485,1
"556",6571,13683.59102,1
"557",8319,13688.81005,1
"558",8428,13695.13662,1
"559",7388,13745.24641,1
"560",4533,13757.72109,1
"561",7884,13772.95733,1
"562",7076,13784.16482,1
"563",4553,13785.73014,1
"564",3196,13787.0018,1
"565",6471,13811.0377,1
"566",7773,13829.38479,1
"567",6753,13841.23345,1
"568",8315,13851.29205,1
"569",8848,13888.89081,1
"570",8369,13901.09603,1
"571",9054,13902.47242,1
"572",5237,13913.63515,1
"573",7219,13948.33289,1
"574",5209,13954.01605,1
"575",9262,13957.02591,1
"576",6807,13965.48927,1
"577",8442,13967.08176,1
"578",6670,13980.35218,1
"579",7220,13991.78264,1
"580",6779,14008.79815,1
"581",6474,14025.50751,1
"582",7146,14027.3158,1
"583",6711,14035.3352,1
"584",2691,14046.36885,1
"585",6735,14049.83743,1
"586",7522,14051.3569,1
"587",6758,14081.19037,1
"588",9164,14086.57408,1
"589",9240,14087.42374,1
"590",5566,14092.56348,1
"591",7374,14098.00613,1
"592",8620,14098.99707,1
"593",6487,14120.71191,1
"594",7367,14120.74818,1
"595",4764,14167.16538,1
"596",8341,14184.12909,1
"597",8284,14187.87532,1
"598",8526,14195.06588,1
"599",9167,14195.87028,1
"600",7335,14208.506,1
"601",6650,14209.77738,1
"602",8643,14216.32472,1
"603",5107,14232.00198,1
"604",7222,14258.32293,1
"605",6765,14282.13743,1
"606",6497,14306.97369,1
"607",8600,14354.87593,1
"608",6552,14377.13502,1
"609",8578,14383.17809,1
"610",6833,14400.87255,1
"611",8383,14401.37735,1
"612",7196,14426.4615,1
"613",7322,14453.71634,1
"614",7891,14454.69088,1
"615",6695,14468.98832,1
"616",6739,14479.01215,1
"617",7391,14480.91503,1
"618",6773,14494.30886,1
"619",6832,14526.8039,1
"620",6635,14543.18333,1
"621",8461,14564.46499,1
"622",9387,14565.81088,1
"623",6500,14569.58459,1
"624",8708,14597.22039,1
"625",6723,14597.48674,1
"626",9362,14612.92503,1
"627",6803,14623.0204,1
"628",6514,14640.42256,1
"629",6628,14648.61865,1
"630",5028,14654.22652,1
"631",8388,14666.24304,1
"632",8586,14668.74404,1
"633",8580,14669.45168,1
"634",5062,14681.67609,1
"635",7398,14686.48075,1
"636",6709,14704.43194,1
"637",7749,14705.8521,1
"638",6718,14706.64671,1
"639",7203,14717.11008,1
